area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
New Zealand,Grazing,0.0,228552141.0,1.0,5026496.0,45469.4763509212
Uruguay,Grazing,0.0,140967443.0,1.0,3428271.0,41119.107270107874
Mongolia,Grazing,0.0,109241273.0,1.0,3266463.0,33443.29110723128
Paraguay,Grazing,0.0,122633146.0,1.0,6573039.0,18656.993515480433
Argentina,Grazing,0.0,834713157.0,1.0,44908441.0,18586.999201330545
Australia,Grazing,0.0,433324456.0,1.0,25544179.0,16963.726099789703
Chad,Grazing,0.0,273945401.0,1.0,16379185.0,16725.21563191331
Brazil,Grazing,0.0,2597499258.0,1.0,212564935.0,12219.791839138474
Zimbabwe,Grazing,0.0,174500162.0,1.0,15505226.0,11254.280460020384
Ireland,Grazing,0.0,53709015.0,1.0,4925074.0,10905.219901264427
South Sudan,Grazing,0.0,85852707.0,1.0,10545441.0,8141.215431388787
Turkmenistan,Grazing,0.0,49900888.0,1.0,6204366.0,8042.866587818965
Bolivia (Plurinational State of),Grazing,0.0,92169076.0,1.0,11862346.0,7769.885990511489
Mauritania,Grazing,0.0,33957619.0,1.0,4440933.0,7646.505587902362
Somalia,Grazing,0.0,122047889.0,1.0,16272861.0,7500.087968550828
Sudan,Grazing,0.0,309391092.0,1.0,43828068.0,7059.1998716438975
Kazakhstan,Grazing,0.0,115323825.0,1.0,18861057.0,6114.388233914992
South Africa,Grazing,0.0,346114162.0,1.0,58466143.0,5919.907560859624
Central African Republic,Grazing,0.0,29284484.0,1.0,5272026.0,5554.6926361895785
Paraguay,Fodder crops,2.1853486896588075e-15,35782542.998736255,1.0,6573039.0,5443.835492035914
Iceland,Grazing,0.0,1966596.0,1.0,364340.0,5397.694461217544
Nicaragua,Grazing,0.0,36084476.0,1.0,6709705.0,5377.952681973351
Namibia,Grazing,0.0,12456997.0,1.0,2467077.0,5049.293962044962
Kyrgyzstan,Grazing,0.0,30976072.0,1.0,6372330.0,4861.027599010095
Botswana,Grazing,0.0,12096443.0,1.0,2523541.0,4793.440249237084
Belarus,Grazing,0.0,46075194.0,1.0,9661044.0,4769.173393682919
